timestamp,mid_price,bid_price_1,ask_price_1
0,2033.5,2032,2035
100,2034.5,2034,2035
200,2033.5,2032,2035
300,2034.5,2034,2035
400,2033.5,2032,2035
500,2033.0,2032,2034
600,2034.0,2033,2035
700,2033.5,2032,2035
800,2032.5,2032,2033
900,2033.0,2031,2035
1000,2033.5,2032,2035
1100,2033.5,2032,2035
1200,2031.5,2031,2032
1300,2033.0,2031,2035
1400,2032.0,2031,2033
1500,2034.5,2034,2035
1600,2033.5,2032,2035
1700,2033.0,2032,2034
1800,2034.0,2033,2035
1900,2033.5,2032,2035
2000,2033.5,2032,2035
2100,2033.0,2032,2034
2200,2033.5,2032,2035
2300,2033.5,2032,2035
2400,2033.0,2031,2035
2500,2033.5,2032,2035
2600,2033.5,2032,2035
2700,2033.5,2032,2035
2800,2033.0,2031,2035
2900,2033.0,2031,2035
3000,2034.5,2034,2035
3100,2033.5,2032,2035
3200,2032.5,2032,2033
3300,2033.5,2032,2035
3400,2033.5,2032,2035
3500,2033.5,2032,2035
3600,2033.5,2032,2035
3700,2033.5,2032,2035
3800,2033.0,2032,2034
3900,2033.5,2032,2035
4000,2033.5,2032,2035
4100,2034.0,2033,2035
4200,2033.0,2032,2034
4300,2033.5,2032,2035
4400,2033.5,2032,2035
4500,2033.0,2032,2034
4600,2033.0,2032,2034
4700,2033.5,2032,2035
4800,2034.5,2034,2035
4900,2033.0,2032,2034
5000,2033.5,2032,2035
5100,2033.5,2032,2035
5200,2034.0,2033,2035
5300,2033.5,2032,2035
5400,2033.5,2032,2035
5500,2033.5,2032,2035
5600,2033.5,2032,2035
5700,2033.5,2032,2035
5800,2033.5,2032,2035
5900,2033.5,2032,2035
6000,2033.5,2032,2035
6100,2033.5,2032,2035
6200,2034.5,2034,2035
6300,2033.5,2032,2035
6400,2033.5,2032,2035
6500,2033.5,2032,2035
6600,2033.5,2032,2035
6700,2033.0,2032,2034
6800,2034.0,2033,2035
6900,2033.0,2032,2034
7000,2033.5,2032,2035
7100,2033.5,2032,2035
7200,2033.5,2032,2035
7300,2033.5,2032,2035
7400,2033.5,2032,2035
7500,2033.0,2032,2034
7600,2033.5,2032,2035
7700,2033.5,2032,2035
7800,2033.5,2032,2035
7900,2033.5,2032,2035
8000,2034.5,2034,2035
8100,2033.5,2032,2035
8200,2033.5,2032,2035
8300,2033.5,2032,2035
8400,2033.5,2032,2035
8500,2033.5,2032,2035
8600,2033.5,2032,2035
8700,2034.5,2034,2035
8800,2033.5,2032,2035
8900,2034.0,2032,2036
9000,2034.0,2032,2036
9100,2034.5,2033,2036
9200,2034.5,2033,2036
9300,2034.0,2032,2036
9400,2034.5,2033,2036
9500,2034.0,2032,2036
9600,2034.0,2032,2036
9700,2033.0,2032,2034
9800,2034.0,2032,2036
9900,2034.0,2032,2036
10000,2034.0,2032,2036
10100,2034.0,2033,2035
10200,2034.5,2033,2036
10300,2034.5,2033,2036
10400,2034.5,2033,2036
10500,2034.5,2033,2036
10600,2035.5,2035,2036
10700,2034.5,2033,2036
10800,2034.5,2033,2036
10900,2033.5,2033,2034
11000,2034.0,2033,2035
11100,2034.5,2033,2036
11200,2033.0,2032,2034
11300,2034.5,2033,2036
11400,2034.0,2032,2036
